,texto,fechas,candidato,nombre_lugar
6321,Salud intendenta ❤️💙🤍 ,27,Cosse,"Montevideo, Uruguay"
6578,Aguante !! ,27,Cosse,"Montevideo, Uruguay"
6706,Sameeee ,27,Cosse,"Montevideo, Uruguay"
6760,Fue un voto más para intendenta y edil😎 Obvio con la 90 💚🔴🔵⚪✌🏼🗳 ,27,Cosse,"Montevideo, Uruguay"
6786,Está en éste momento ,27,Cosse,"Montevideo, Uruguay"
6798,Lafone ,27,Cosse,"Montevideo, Uruguay"
6934,"Si la orden vino, no votar a Cosse. ",27,Cosse,"Canelones, Uruguay"
6973,Por eso Dios inventó los foulard ,27,Cosse,"Montevideo, Uruguay"
7050,VOTO LA FIEL REPRESENTANTE DE LA ZURDA CAVIAR ,27,Cosse,"Montevideo, Uruguay"
7094,Cosse vieja conchuda ,27,Cosse,"Montevideo, Uruguay"
7203,"Antes jugábamos al Casin , ahora se llama jugar al Villar, es claro que hay gente que la desCosse. Si la Zemilla no germina con esta humedad es que Ya perdió vigencia y se venció El Huracán Laura viene haciendo estragos el campeonato, matemáticamente tenemos chance ",27,Cosse,"Montevideo, Uruguay"
7205,Sentimientos ruin traen envejecimiento.😁 ,27,Cosse,Uruguay
7222,No sé si me atrevería a tocarme. Felicito a quienes lo hacen para sentirse a gusto. 😉 ,27,Cosse,"Montevideo, Uruguay"
7343,Vieja de mierda ,27,Cosse,"Montevideo, Uruguay"
7390,,27,Cosse,"Maldonado, Uruguay"
7441,No te conozco compañera pero te quiero jajajaja 💪🏻 Aguante la CaroCo ,27,Cosse,"Montevideo, Uruguay"
7543,No hablo ni de politica ni de futbol con usted morocha ,27,Cosse,"Montevideo, Uruguay"
7651,Quién dijo que los medios no inciden en las elecciones? Fueron fundamentales para que mi voto sea para ,27,Cosse,"Montevideo, Uruguay"
7783,En canal 4 ya adelantaron tanto la hora que están pasando la encuesta de aprobación de gestión de Cosse en Montevideo ,27,Cosse,"Soriano, Uruguay"
7793,"Perdóneme pero eso no está bien, es una chanchada y ensucia (de caca), nuestra democracia. Si quiere anular su voto puede emplear otra forma, ejemplos: -lista de la bruja pinchada con alfileres; -o con bigotes en su foto; -o dibújele cuernos diabólicos ",27,Cosse,"Montevideo, Uruguay"
7794,👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿 ,27,Cosse,"Florida, Uruguay"
7951,"Con y hoy sale mi voto, orgullosa que este llenito de mujeres políticas. Sigamos construyendo nuevas formas de hacer política 💜🙏🏽 Yo voto Yo voto 🔴🔵⚪️ ",27,Cosse,"Montevideo, Uruguay"
7954,"Derrochona como Cosse? Es insuperable. Y que luego, ante las preguntas, siempre te responda: ""no sé"" o ""no te lo voy a decir"". Igualmente respeto tu posición, para gustos, los colores. ",27,Cosse,"Montevideo, Uruguay"
7957,Gracias ,27,Cosse,"Montevideo, Uruguay"
7975,reventa cara de bombo ,27,Cosse,"Montevideo, Uruguay"
8139,"La #LaMontevideoQueQuiero y que queremos sin duda alguna, ¡¡¡ES CON ELLA!!! No les voy a decir quien salí corriendo hasta plaza Lafone cuando me enteré que estaba ahí 😅 ",27,Cosse,Plaza Lafone
8174,"Por eso mismo debe tener consideración... están trabajando; mejor provocar una sonrisa que unas náuseas, no? ",27,Cosse,"Montevideo, Uruguay"
8252,dios amo a esta mujer ,27,Cosse,"Montevideo, Uruguay"
8347,En la departamental del PS a todo ritmo! Estamos esperando la visita de la futura Intendenta #Carolina90 #CarolinaIntendenta ,27,Cosse,"Montevideo, Uruguay"
8354,54 #FA 38 ellos intendenta ,27,Cosse,"Canelones, Uruguay"
8399,Y YOOOOO! Nos fuimos corriendo a Lafone cuando me enteré que estaba ahi¡! Llegamos justiiiito!!! ,27,Cosse,"Montevideo, Uruguay"
8401,"Ya se estaba yendo, y una divina bajo el vidrio y nos sacamos la foto 🤗 ",27,Cosse,"Montevideo, Uruguay"
8413,"Siii, justito justito! Ya se iba, una genia bajo el vidrio y salió la foto 🤗 ",27,Cosse,"Montevideo, Uruguay"
8452,algo me dice que cosse no gana hoy... HAY FRAUDEAMPLISTAS QUE NO LA QUIEREN... SERA VILLAR O RAFFO AHORA LA COSA? ,27,Cosse,"Montevideo, Uruguay"
8492,otra vez cosse se queda con las ganas?? mmmmmmm son las noticias que corren por lo bajo... ,27,Cosse,"Montevideo, Uruguay"
8511,Recorriendo comités y agradeciendo a los militares. La emoción por estos colores es enorme ♥️💙🤍 Vamos #CarolinaIntendenta #LaMontevideoQueQuiero #CarolinaCosse ,27,Cosse,"Montevideo, Uruguay"
8521,Quien votó a digo para ser amigos 😌. ,27,Cosse,"Montevideo, Uruguay"
8530,Seamos amigos ☺️ ,27,Cosse,"Montevideo, Uruguay"
8562,👏🏽👏🏽👏🏽 ,27,Cosse,"Montevideo, Uruguay"
8603,,27,Cosse,"Montevideo, Uruguay"
9078,Si gana Cosse me mudo a la Antártida ,27,Cosse,"Montevideo, Uruguay"
9134,"Voy a decir algo muy profundo que tal vez ya lo han comentado, QIE BIEN TE VESTIS ",27,Cosse,"Montevideo, Uruguay"
9672,"Y, A TODES????? ",27,Cosse,"Canelones, Uruguay"
9927,Por supuesto que volvemos!! Y de la mano de 🙌 ,27,Cosse,"Montevideo, Uruguay"
9969,Carolina Cosse pidiendo clima de respeto 🤦‍♂️🤦‍♂️🤦‍♂️ ,27,Cosse,"Montevideo, Uruguay"
9981,"Si gana Cosse el rejunte festejará que perdió Martinez, si gana el FA y ellos raspan el 40% festejarán ese número, si gana cualquiera de los candidatos varones festejarán que no gano Cosse. Consuelo de bobos que le dicen. Ah!..saben lo unico q no van a festejar? Laura intendenta ",27,Cosse,"Montevideo, Uruguay"
10023,FOCO DE ALUMBRADO PUBLICO EN MEDIO DE LA RAMBLA DE MONTEVIDEO !!! Tránsito donde está ?? Lo están corriendo los mismos conductores para evitar un accidente ,27,Cosse,"Montevideo, Uruguay"
10055,"No estás muy errada, creo q Cosse pierde ",27,Cosse,"Canelones, Uruguay"
10223,"Votamos a Caro Cosse en la 567 y a Diana Spatakis para el Municipio E. Por delante de todo, frenteamplistas auténticamente unitarios, como decía el General del Pueblo. ¡Salú! 🔴🔵⚪ ",27,Cosse,"Montevideo, Uruguay"
10227,"Si gana es la sentencia d muerte d su futura candidatura a Presidenta, por su autoritarismo va tener problemas con todos, entre ellos Si gana es el Premio Consuelo desp del fracaso Nacional... y sp jaja. El fin del ",27,Cosse,"Montevideo, Uruguay"
10375,"NO SEA MALO.CON LOS SERES HUMANOS. ELLA NO TIENE CEREBRO, TIENE UN MONEDERO GRANDE PARA LOS VUELTOS. ",27,Cosse,"San José, Uruguay"
10432,Para ciertas cosses.. está sanita. ,27,Cosse,"Montevideo, Uruguay"
10513,"Sin Cosse en la terna FAmplista, Blondie L. hubiera votado mejor. Eso p/1 lado. Pero, Cosse tiene brillo propio. Es muuuy inteligente. Y tanto palo de la derecha, exagerado, fue un bumerán. La gente se puso de su lado, harta del blablablá colorinchudo. Me parece... ",27,Cosse,"Montevideo, Uruguay"
10541,"Cosse devolverá los 40 millones que te llevaste del antel arena, los precisa el hospital de clínicas . ",27,Cosse,"Montevideo, Uruguay"
10575,😂😂Me imagino q no vivís en un barrio con. Aguas hervidas verdad ,27,Cosse,"Montevideo, Uruguay"
10587,Me voy a votar para ser Intendenta y de paso les regalo una cátedra de física... Sos todo 💪🏻💪🏻💪🏻 ,27,Cosse,"Montevideo, Uruguay"
11161,"La manera en la que atacan a Raffo y a Cosse me tiene asqueada, independientemente de que no me representa ninguna, estaría bueno que se las respete. A ningún candidato blanco o frenteamplista descalifican a ese nivel. Que difícil debe ser, ser mujer y estar en política. ",27,Cosse,"Montevideo, Uruguay"
11213,Esta votante no tenía idea. Vio el afiche d socialistas con Caro y pregunto si era la Cosse 🤣🤣🤣 ,27,Cosse,"Montevideo, Uruguay"
11221,"Lamento para mis amigos y allegados montevideanos, pero hay que ser muy ingenuo para creer que la coalición multicolor tiene chances... Cosse intendente. ",27,Cosse,"Salto, Uruguay"
11297,Se votó bien. #womenpower en con al ,27,Cosse,"Montevideo, Uruguay"
11330,,27,Cosse,"Montevideo, Uruguay"
11378,Cosse ,27,Cosse,"Salto, Uruguay"
11416,Cosse habla sin saber sobre el baleado ,27,Cosse,"Montevideo, Uruguay"
11428,No tiene nada que ver pero caro cosse tiene 60 años y tiene mejor piel que yO QUE TENGO 20 ,27,Cosse,"Montevideo, Uruguay"
11477,Me parece que empezaste a ver tarde el informativo porque la primer hoja de votación que se mostró fue en Mvd y era de Carolina Cosse 🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️ ,27,Cosse,"Montevideo, Uruguay"
11569,La candidata a la Intendencia de Montevideo por el espera los resultados junto a su equipo en la sede de la peatonam Sarandi. #EleccionesDepartamentales2020 ,27,Cosse,"Montevideo, Uruguay"
11727,Trabajemos para que no hayan más niñas y mujeres sometidas a la mutilación genital femenina. #MGF #derechossexuales #DerechosHumanos #saludsexual ,27,Cosse,"Montevideo, Uruguay"
11768,Terminar este gran día viendo a Caro Cosse quedándose con las ganas seria glorioso. ,27,Cosse,"Montevideo, Uruguay"
11804,#EleccionesDepartamentales2020 y esperando la victoria de la candidata a la #LaMontevideoQueQuiero #FA🔴🔵⚪ ,27,Cosse,"Montevideo, Uruguay"
11915,,27,Cosse,"Montevideo, Uruguay"
11954,Y si el ANTEL arena dando millones en pérdidas hasta te pide menos Plata que el palacio peñsrol gracias ,27,Cosse,"Montevideo, Uruguay"
11969,#ElegiTVCiudad #EleccionesDepartamentales Vamos Cosse Vamos el Frente 🔴🔵⚪✊ ,27,Cosse,"Montevideo, Uruguay"
12109,Ganó Cosse la puta madre ,27,Cosse,"Montevideo, Uruguay"
12114,Ganó el FA la Cosse ,27,Cosse,"Canelones, Uruguay"
12119,Que bien Cosse 🙌🏼 ,27,Cosse,"Cerro Largo, Uruguay"
12133,Hoy fui a votar y pinché...y la Cosse intendenta?? Que domingo de mierda ,27,Cosse,"Montevideo, Uruguay"
12144,Rica vamo y vamo ,27,Cosse,"Montevideo, Uruguay"
12149,INTENDENTA ,27,Cosse,"Montevideo, Uruguay"
12169,Carolina Cosse Intendente de Montevideo. ,27,Cosse,"Canelones, Uruguay"
12191,Encuesta de Cifra Carolina Cosse será la próxima intendenta de Montevideo. ,27,Cosse,"Montevideo, Uruguay"
12196,r e i n a ,27,Cosse,"Montevideo, Uruguay"
12197,Gano la Cosse A LA MIERDA MONTEVIDEO NOS VAMOS A IR A LA MIERDA EN 3 2 1 ,27,Cosse,"Montevideo, Uruguay"
12218,INTENDENTAA!! ,27,Cosse,"Montevideo, Uruguay"
12223,INTENDENTA ,27,Cosse,"Montevideo, Uruguay"
12234,#EleccionesDepartamentales Montevideo: El 🔴🔵⚪️ ganó la intendencia en la capital. es la nueva intendenta. ,27,Cosse,"Montevideo, Uruguay"
12283,Vamo la cosse igual ,27,Cosse,"Montevideo, Uruguay"
12288,Reina yo si te vote 🤍 ,27,Cosse,"Montevideo, Uruguay"
12292,LA Montevideo 😳😳😳 que asco por Dios. Que rechazo me das ,27,Cosse,"Montevideo, Uruguay"
12313,#CarolinaCosse ¡Intendenta de Montevideo! 👏👏👏👏👏👏👏¡@CosseCarolina felicitaciones! ,27,Cosse,"Montevideo, Uruguay"
12316,De votar a cosse no se vuelve niños y niñas.🤦🏻‍♂️ ,27,Cosse,"Montevideo, Uruguay"
12319,Vamos 💪💪 ,27,Cosse,"Montevideo, Uruguay"
12337,Montevideo : frente Canelones: Frente Colonia: PN Maldonado : PN Paysandu: empate PN y frente Salto : frente Montevideo : villar y cosse muy cerca Resultados primarios de la diaria ,27,Cosse,"Montevideo, Uruguay"
12349,"Gano la Cosse, ahora si Montevideo se fue a la mierda JAJAJAJAJJJA ",27,Cosse,"Montevideo, Uruguay"
12352,Cosse Intendenta Me chupa un huevo Vivo en Punta Gorda Barrio limpio y con servicios Quise ser solidario con los que mas necesitan Pero si ellos no quieren esta barbaro ,27,Cosse,"Montevideo, Uruguay"
12355,Con la Cosse... Tocamos fondo ,27,Cosse,"Montevideo, Uruguay"
12373,Vamo' 💜💜🔴🔵⚪ ,27,Cosse,"Montevideo, Uruguay"
12375,"carolina cosse is not a good woman y'all are just dumb and blind,, ",27,Cosse,"Canelones, Uruguay"
12391,INTENDENTA MONTEVIDEO 🔴🔵⚪️ #EleccionesDepartamentales #Montevideo ,27,Cosse,"Rocha, Uruguay"
12416,"Y ganó la Cosse, listo me voy para el interior ",27,Cosse,"Canelones, Uruguay"
12437,"Cosse intendenta, se vienen tiempos difíciles en LA montevideo jajajaja ",27,Cosse,"Artigas, Uruguay"
12440,THE QUEEN ✌🏻 ,27,Cosse,"Montevideo, Uruguay"
12463,"Me saco el sombrero por todo lo que soportó #CarolinaCosse. La difamaron, la discriminaron, la subestimaron y la ignoraron. ¿Pero saben quién decide quién sí y quién no? Los ciudadanos. ",27,Cosse,"Montevideo, Uruguay"
12495,"Como vas a votar a Cosse, terrorista del voto ",27,Cosse,"Florida, Uruguay"
12511,No puedo adaptarme a la A en pte o inte. ,27,Cosse,"Canelones, Uruguay"
12525,"Rexpeita la Cosse, claavee ",27,Cosse,"Rivera, Uruguay"
12532,"Mejor no hablar de cosse en Montevideo, no te parece? ",27,Cosse,"Canelones, Uruguay"
12535,"Buen resultado de la coalición multicolor, ganó Cosse parece pero bueno ",27,Cosse,"Lavalleja, Uruguay"
12549,Así es 40% la más votada. ,27,Cosse,"Canelones, Uruguay"
12563,Daniel Martinez perdió nuevamente ?? Jajajajajajajajaja 🤣🤣🤣 Carolina Cosse va ser la causante de la destrucción del Frente Amplio. Vamos a sentarnos a ver pasar el cajon de nuestro enemigo. ,27,Cosse,"Montevideo, Uruguay"
12609,Lo malo no es que perdimos. Lo malo es que ganó Cosse !!! ,27,Cosse,"Montevideo, Uruguay"
12621,MONTEVIDEO Proyecciones de escrutinio: Cifra da como ganadora a Carolina Cosse en Montevideo ,27,Cosse,"San José, Uruguay"
12629,Es intendenta y es 🔴🔵⚪️ ,27,Cosse,"Treinta y Tres, Uruguay"
12634,Porque dicen que ganó cosse si Laura Raffo arrasó con los tres. Digan las cosas como son que con la trampa de tres inservibles candidatos se juntan los votos para uno. Es así. #EleccionesDepartamentales2020 ,27,Cosse,"Montevideo, Uruguay"
12636,Les Mujeres que están esperando a la Cosse abajo están con un cartel con la foto de Raffo que dice: lo q no vas a ser es Intendenta. ESA SORORIDAD. Bueno cuando se caigan adentro de los pozos x q Caro gasto 100 millones en un monumento a Patorusito q las salven las compañeres ,27,Cosse,"Canelones, Uruguay"
12638,Cosse y Orsi. REPÚBLICA FRENTEAMPLISTA DE MONTELONES. ,27,Cosse,"Montevideo, Uruguay"
12696,"No nací en Montevideo pero hace 5 años vivo en el, me siento montevideano y estoy feliz que cosse haya ganado. ",27,Cosse,"Montevideo, Uruguay"
12747,"La Cosse va a pasar de ser la Cosse Arena la Cosse gastadera, nuestra chrischin Uruguaya JAJAJAJAJA ",27,Cosse,"Montevideo, Uruguay"
12749,"ES INTENDENTA, BIEN MONTEVIDEO, BIEN 🔴🔵⚪️ ",27,Cosse,"Treinta y Tres, Uruguay"
12756,Parte de la campaña de Raffo llevó a Cosse a su mejor votación. ,27,Cosse,"Montevideo, Uruguay"
12758,"Lo que le pido a Cosse es que previo a invertir,lea la Constitución y el TOCAF . ",27,Cosse,"Montevideo, Uruguay"
12777,Carolina cosse de intendenta mmm 🤔 ,27,Cosse,"Montevideo, Uruguay"
12824,Gano cosse gano la cupula de el partido comunista uruguay y argentina son los unicos que permiten que estas cabesas esten en politica y destruyan la misma ,27,Cosse,"Montevideo, Uruguay"
12917,QUE BIEN REINA ,27,Cosse,"Canelones, Uruguay"
12936,"es intendenta, Montevideo vos sí qué entendiste todo 🔴🔵⚪️ ",27,Cosse,"Treinta y Tres, Uruguay"
12944,"""Solo voy a decir un gracias, un gracias enorme"", dijo Carolina Cosse hace minutos. Según los primeros datos, es la nueva intendenta de Montevideo. ",27,Cosse,"Montevideo, Uruguay"
12962,Cosse muy cerca de la Intendencia de Montevideo. ,27,Cosse,"Montevideo, Uruguay"
12964,Cosse - Orsi 2024. Dónde firmo? ,27,Cosse,"Montevideo, Uruguay"
12983,dejala por ahi que salis perdiendo... no se si cuando tengas nietos van a terminar de pagar el cosse arena... DESTROZO AL PAIS ESE DESPILFARRO DE GUITA! A CUANTA GENTE SE PODRIA HABER AYUDADO CON 100MILLONES DE DOLARES ,27,Cosse,"Montevideo, Uruguay"
12993,es intendenta. Montevideo entendiste todo. 🔴🔵⚪️ ,27,Cosse,"Treinta y Tres, Uruguay"
13063,Felicidades 🎉 a seguir construyendo Montevideo. ,27,Cosse,"Montevideo, Uruguay"
13110,¡Aguante Carolina Cosse! 🔵🔴⚪ ,27,Cosse,"Montevideo, Uruguay"
13140,Todos contentos porque cosse gano la intendencia pero no se olviden que su presidente es ... 🙌 ,27,Cosse,"Montevideo, Uruguay"
13142,Tenemos INTENDENTAAAA ,27,Cosse,"Montevideo, Uruguay"
13162,Una mujer para Montevideo ,27,Cosse,"Montevideo, Uruguay"
13171,"Editorial: Miren lo que votaron, ahora con Cosse vienen los comunistas que se les van a llevar los botijas a Cuba y van a enseñar a hablar ruso en las escuelas y en vez del himno los van a hacer cantar la internacional. Estúpidos montevideanos. ",27,Cosse,"Montevideo, Uruguay"
13176,Raffo reconoce derrota y triunfo de Cosse. ,27,Cosse,"Montevideo, Uruguay"
13201,Hay q felicitar auque yo tampoco la voté pero es una gran intendenta lo va a ser👌👌👌👏👏👏💪💪💪💯💯 ,27,Cosse,"Montevideo, Uruguay"
13229,Habemus INTENDENTA y es #CarolinaCosse 🔴🔵⚪ ,27,Cosse,"Montevideo, Uruguay"
13232,Vamos la COSSE primaaaaaa! ,27,Cosse,"Montevideo, Uruguay"
13253,felicitaciones!!! ,27,Cosse,"Montevideo, Uruguay"
13260,Alguien sabe quien es el suplente de Cosse Porque ahora no tendrá fueros ,27,Cosse,"Montevideo, Uruguay"
13263,Felicitaciones compañera por una gran gestión inclusiva que celebramos y apoyamos. Arriba nuestro amado!!! ,27,Cosse,"Montevideo, Uruguay"
13277,El Boca tras bambalinas no para de reírse . Es el gran ganador detrás de ,27,Cosse,"Montevideo, Uruguay"
13278,"Siii y no aprendemos más 🤦‍♀️ el ser humano es masoquista, Cosse es intendenta de Mdeo. 🤦‍♀️ ",27,Cosse,"Montevideo, Uruguay"
13287,"El triunfo del FA en Montevideo se da en democracia. Los pueblos merecen los gobernantes que eligen! Por el bien de todos, ojalá le vaya bien a ",27,Cosse,"Maldonado, Uruguay"
13292,"Genia Laura Raffo, dió ganadora a Cosse antes que nadie.!!!! ",27,Cosse,"Salto, Uruguay"
13302,Muy contento por la victoria del Frente Amplio en Montevideo. Felicitaciones a nuestra intendenta! ,27,Cosse,"Montevideo, Uruguay"
13308,Hay intendenta 🔴🔵⚪✌🏻 ,27,Cosse,"Montevideo, Uruguay"
13321,Tenemos intendentA ,27,Cosse,"Montevideo, Uruguay"
13348,Si Martínez hubiera elegido a en las nacionales ESTOY SEGURO QUE EL FRENTE GANABA. ,27,Cosse,"Montevideo, Uruguay"
13354,"A vuelo de pájaro . Mis primeras conclusiones . Cosse y Orsi se posicionan para el 2024. Primera elección donde realmente desaparecen de escena Tabare , Mujica y Astori . El sistema político gana un actor político importante : Laura Raffo . Quiero ver qué ocurre en el Litoral ",27,Cosse,"Montevideo, Uruguay"
13392,5 años ? Estuvo 3 a lo sumo. Pero No todo esta perdido ingeniero. Todavía puede ir a perder una elección contra Ney en Defensor. No desista. ,27,Cosse,"Montevideo, Uruguay"
13411,"Comieron del tuper, ahora me robo hasta las baldosas del túnel de avenida Italia los gritos de la Cosse 😂😂 ",27,Cosse,"Montevideo, Uruguay"
13423,Es que es evidente. Si agarra una imagen fuerte de contrincante y su partido que es gobierno baja en aprobación lleve votos Cosse. Es una ecuación simple ,27,Cosse,"Montevideo, Uruguay"
13424,La Cosse te lo cose!!!! ,27,Cosse,"Artigas, Uruguay"
13426,Gracias ,27,Cosse,"Montevideo, Uruguay"
13448,"ARRIBA Daniel. Tus casi 5 años de gestión fueron de muchas obras, de sueños alcanzados x los montevideanos en los barrios. No te soltamos la Mano Daniel contigo Estamos. 💪❤ ",27,Cosse,"Canelones, Uruguay"
13460,"Cosse, la candidata que con un 20% gana la Intendencia. Raffo, la candidata que con un 40% es lamás votada y no gana. . Martínez, el candidato con una gran aprobación de gestión, que quedó último. Por más que el resultado era cantado, hay muchas lecturas para hacer. ",27,Cosse,"Montevideo, Uruguay"
13464,Arriba Daniel! A aportar desde donde sea ,27,Cosse,"Montevideo, Uruguay"
13465,"Mi opinión es que el sistema está mal, solo un 19,4% quiso a Cosse, no interesa que sea del mismo partido político. ",27,Cosse,"Durazno, Uruguay"
13480,Ganó Cristina Fernández de Cosse 😎 ,27,Cosse,"Montevideo, Uruguay"
13483,Felicitaciones Intendenta ,27,Cosse,"Montevideo, Uruguay"
13488,"Bien; sabes? algunas veces al abrir los sobres en un escrutinio, se han encontrado con sorpresas desagradables...🤢🤮 ",27,Cosse,"Montevideo, Uruguay"
13512,GRACIAS X TANTO DANIEL!!!!!!✊🏾❤️💙🤍🇺🇾 GRACIAS!!!!!!!!!!!!!!!!!!! ,27,Cosse,"Montevideo, Uruguay"
13523,Si? 40%? Te manda un saludo la intendenta de Mobtevideo! ! ,27,Cosse,"Montevideo, Uruguay"
13525,"Villar y Raffo dan ganadora a Cosse en base a proyecciones de escrutinio con diferencias dentro del margen de error. Periodistas hablan de ""intendenta electa"". Orsi, Antía y Vidalín se adjudican la voctoria prácticamente en base a encuestas previas. Muy serio todo... ",27,Cosse,"Montevideo, Uruguay"
13532,Vamos 🔴🔵⚪️ #EmpezamosaVolver ,27,Cosse,"Montevideo, Uruguay"
13559,Como estudiante d ciencias políticas hago el siguiente analisis: en baja la aprobación del gobierno nacional. Raffo muy combativa y con pocas propuestas. Se encarnizado con una figura fuerte del FA y eso favoreció a Cosse. Donde levanto mi título? Mañana paso x bedelia? ,27,Cosse,"Montevideo, Uruguay"
13562,"Y....el agravio de Mujica a Raffo, puso a Cosse en la Intendencia de Montevideo! ",27,Cosse,"Montevideo, Uruguay"
13578,"Bueno ya tenemos a la mujer más votada, la mas querida por los montevideanos, la que la mayoría apoyo, la uno!!! 🙄 Ah y Cosse salio intendenta me olvidaba ",27,Cosse,"Montevideo, Uruguay"
13619,"A pesar de todas las operaciones mediáticas de los últimos meses y de la intervención directa de los funcionarios del gobierno en la campaña, Carolina Cosse es la nueva Intendenta de Montevideo. ¡Salud Carolina! ¡Salud Frente Amplio! 🔴🔵⚪ ",27,Cosse,"Montevideo, Uruguay"
13646,Andrade - Cosse 2024 🔴🔵⚪ ,27,Cosse,"Colonia, Uruguay"
13697,"Cosse, la candidata que con un 20% gana la Intendencia. Raffo, la candidata que con un 40% es la más votada y no gana. Martínez, el candidato con una aprobación de gestión superior al 60%, quedó último. Por más que el resultado era cantado, hay muchas lecturas para hacer. ",27,Cosse,"Montevideo, Uruguay"
13700,Cuanta plata se irá a patinar cosse ahora que es intendenta? ,27,Cosse,"Montevideo, Uruguay"
13709,"La lógica del FA: Cosse pierde en las internas junio 2019, hoy la más votada dentro del FA 🤡 🤡 ",27,Cosse,"Canelones, Uruguay"
13714,Montevideo se merece a esta gran intendenta ❤️💙🤍✊🏾 Vamo el ,27,Cosse,"Montevideo, Uruguay"
13731,Escuchaste alguna vez el “no se puede”? Si habrá vencido obstáculos para lograr este resultado. Felicitaciones a unas guerreras como articuladoras de equipos! ,27,Cosse,"Montevideo, Uruguay"
13769,Lo dije antes 👇🏾❤️💙🤍 ,27,Cosse,"Montevideo, Uruguay"
13771,Por lejos❗ acá jugó el voto al lema. La mayoría en la junta y en alcaldías es también remar en dulce de leche ,27,Cosse,"Montevideo, Uruguay"
13788,La mejor foto de la campaña!! #FelizDomingo #CarolinaCosse #EleccionesDepartamentales2020 #EleccionesXLaTele #frentealosdesafíoscrecemos #Mevoyacuidaralosnietos ,27,Cosse,"Montevideo, Uruguay"
13792,Vamos !!! ,27,Cosse,"Canelones, Uruguay"
13802,Felicitaciones ⚪🔵🔴🇺🇾📿📿📿❤❤❤ ,27,Cosse,"Rivera, Uruguay"
13803,"Orgullo Orgullo de Uruguayo Elección brillante, en Paz, en total armonía, ejemplar Un Politologo dice: Ganó antes de cerrar el contaje de votos y todos aceptan En medio de la Pandemia, somos ejemplo como país realmente Brilla el Sistema Político y las Instituciones ",27,Cosse,"Montevideo, Uruguay"
13812,Yupí!!!! ,27,Cosse,"Montevideo, Uruguay"
13819,Bueno ahora si aprontense que nos funde la cosse 🤦‍♀️ ,27,Cosse,"Montevideo, Uruguay"
13828,"Carolina Cosse es la intendenta con poca diferencia votos con Villar. Orsi batacazo. Cerro Largo peleado entre Yurramendi y Duarte. Maldonado Antia, Colonia Moreira, Durazno Vidalin, Rocha peleando FA y PN será casi voto a voto. Gracias por su atención ",27,Cosse,"Montevideo, Uruguay"
13835,"Bueno ahora que es intendenta, alguna que le haga una micro y perfilado a la Cosse esas cejas mínimo 🤦‍♀️😅 ",27,Cosse,"Montevideo, Uruguay"
13864,"Visionaria, guerrera, vidente, futura patotera del frente amplio y amiga de cosse ",27,Cosse,"Montevideo, Uruguay"
13884,Las veteranas le dan beso en la mano a Caro Cosse 😳🙄 Cada cosa hay que ver... 🤦‍♂️ ,27,Cosse,"Montevideo, Uruguay"
13895,Lamentablemente entre 3 candidatos ganan la intendencia de Montevideo pero a mi los datos que me quedan son 40% y 21% ,27,Cosse,"Montevideo, Uruguay"
13936,Porqué decís eso? ,27,Cosse,"Montevideo, Uruguay"
13952,Muy merecido REINA ,27,Cosse,"Montevideo, Uruguay"
13953,Felicitaciones a la Intendente Electa de Montevideo Ing. Carolina Cosse. Con menos del 20% logró un milagro 🙏 ,27,Cosse,"Montevideo, Uruguay"
13966,"A pesar de todas las operaciones mediáticas de los últimos meses y de la intervención directa de los funcionarios del gobierno en la campaña, Carolina Cosse es la nueva Intendenta de Montevideo. ¡Salud Carolina! ¡Salud Frente Amplio! 🔴🔵⚪ ",27,Cosse,"Montevideo, Uruguay"
13968,Tenemos INTENDENTA! Felicitaciones y a sus militantes ,27,Cosse,"Montevideo, Uruguay"
13974,#EmpezamosaVolver ,27,Cosse,"Montevideo, Uruguay"
13980,felicitaciones! ,27,Cosse,"Montevideo, Uruguay"
14035,Habemus Intendenta y se llama ✊🏾❤️!!! La mejor !! ,27,Cosse,"Montevideo, Uruguay"
14075,"Caro va por el gobierno paralelo, la confrontación y enfrentamiento con el gobierno nacional. Cómprate un sillón blandito para esperar diálogo y ☮️ paz... 🤪 ",27,Cosse,"Canelones, Uruguay"
14108,"Gana la unidad en la diversidad del Felicitaciones a la nueva Intendenta A sumar y hacer sinergias para seguir construyendo un para todas las personas, colectivos en todos los barrios para mayor equidad, innovación y sustentabilidad. ",27,Cosse,"Canelones, Uruguay"
14149,Cosse te quiero de presidenta en el 2024 !! ,27,Cosse,"Soriano, Uruguay"
14155,Cuáles antecedentes? ,27,Cosse,"Montevideo, Uruguay"
14172,GG WP Cosse ,27,Cosse,"Montevideo, Uruguay"
14180,"Vamo las pibas, el Frente y la izquierda carajo! Montevideo noma! ",27,Cosse,"Montevideo, Uruguay"
14199,"Los respeto, no comparto. La realidad rompe los ojos, los pobres cada vez más pobres 😥 ",27,Cosse,"Montevideo, Uruguay"
14243,A Cosse le falta mucho para ser candidata nacional. Tiene mucho más chances Raffo en ese sentido. ,27,Cosse,"Cerro Largo, Uruguay"
14247,"Modélame así, dame ahora tu mejor Cosse Cosse Cosse 🎶 habemus intendenta 💪🏽 ",27,Cosse,"Montevideo, Uruguay"
